                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  8.907,                 4.4947,                 4.0401,                0.00213,                0.35143,                0.00531,                 0.0015,                 7.9567,                 3.6942,                 3.7673,              0.0033297,              0.0033297,              0.0033297
                      1,                 5.9086,                 3.6014,                 3.0381,                0.44864,                0.03503,                0.01397,                0.00452,                 6.2785,                 3.8487,                  3.377,              0.0066301,              0.0066301,              0.0066301
                      2,                 4.7098,                 3.0685,                 2.4854,                0.49126,                0.07656,                0.03838,                0.01271,                   5.33,                 3.4456,                 2.8225,              0.0098974,              0.0098974,              0.0098974
                      3,                 4.4041,                 2.8528,                 2.3275,                0.34006,                0.14768,                0.09866,                0.03569,                 4.4168,                 2.9714,                 2.4648,              0.0098515,              0.0098515,              0.0098515
                      4,                 4.1703,                 2.7305,                 2.2309,                0.19708,                0.20067,                0.10761,                0.03547,                 4.1479,                 2.7992,                 2.3321,              0.0098515,              0.0098515,              0.0098515
                      5,                  4.013,                 2.6172,                 2.1695,                0.24912,                0.21109,                0.16166,                 0.0546,                 4.1655,                 2.5352,                 2.3119,               0.009802,               0.009802,               0.009802
                      6,                 3.9445,                 2.5435,                   2.13,                0.18131,                0.19806,                0.13841,                0.04507,                 4.1685,                 2.6095,                 2.3206,              0.0097525,              0.0097525,              0.0097525
                      7,                 3.8738,                 2.4946,                 2.1048,                0.23854,                0.21675,                0.18701,                0.06645,                 3.8195,                 2.3792,                 2.2392,               0.009703,               0.009703,               0.009703
                      8,                 3.7972,                 2.4508,                 2.0724,                0.21026,                0.27951,                0.18764,                0.06629,                 3.8744,                 2.3607,                 2.2017,              0.0096535,              0.0096535,              0.0096535
                      9,                 3.7523,                 2.4077,                 2.0577,                0.31229,                0.29558,                 0.2249,                0.07769,                 3.7044,                 2.3296,                 2.1944,               0.009604,               0.009604,               0.009604
                     10,                 3.6991,                 2.3651,                 2.0376,                0.33499,                0.27351,                0.25178,                 0.0866,                 3.6376,                 2.3009,                 2.1598,              0.0095545,              0.0095545,              0.0095545
                     11,                  3.681,                 2.3363,                 2.0225,                0.32086,                0.30699,                 0.2715,                0.09503,                 3.7754,                 2.2482,                 2.1555,               0.009505,               0.009505,               0.009505
                     12,                 3.6663,                 2.3034,                 2.0004,                 0.3077,                 0.3179,                0.27044,                0.09625,                 3.7118,                  2.173,                 2.1006,              0.0094555,              0.0094555,              0.0094555
                     13,                 3.5942,                 2.2853,                 1.9913,                0.29453,                0.31834,                0.27659,                 0.1044,                  3.526,                 2.1865,                 2.0918,               0.009406,               0.009406,               0.009406
                     14,                 3.6088,                 2.2484,                 1.9781,                0.29571,                0.32527,                0.29909,                0.10643,                 3.6791,                 2.1587,                 2.1285,              0.0093565,              0.0093565,              0.0093565
                     15,                 3.5666,                 2.2426,                  1.971,                0.32005,                0.36006,                0.31825,                0.12579,                 3.6467,                 2.1115,                 2.0701,               0.009307,               0.009307,               0.009307
                     16,                 3.5765,                  2.216,                 1.9585,                 0.3953,                0.34641,                0.35499,                0.13489,                 3.4913,                 2.1144,                 2.0507,              0.0092575,              0.0092575,              0.0092575
                     17,                 3.5454,                 2.1936,                 1.9545,                0.40953,                0.37603,                  0.379,                0.14901,                 3.4684,                 2.0778,                 2.0494,               0.009208,               0.009208,               0.009208
                     18,                 3.4753,                 2.1761,                 1.9472,                0.36441,                0.41297,                0.37695,                0.13889,                 3.4695,                 2.0356,                 2.0547,              0.0091585,              0.0091585,              0.0091585
                     19,                  3.476,                 2.1562,                 1.9354,                0.41445,                0.39273,                0.38216,                0.15026,                 3.4739,                 2.0391,                 2.0198,               0.009109,               0.009109,               0.009109
                     20,                 3.4862,                 2.1383,                 1.9258,                0.46179,                0.40532,                0.43103,                0.16866,                 3.4192,                 1.9841,                 2.0135,              0.0090595,              0.0090595,              0.0090595
                     21,                 3.4603,                 2.1109,                 1.9226,                0.39828,                0.41105,                 0.4145,                0.16269,                 3.3655,                  1.964,                 2.0011,                0.00901,                0.00901,                0.00901
                     22,                 3.4424,                  2.116,                 1.9143,                0.47974,                0.38754,                0.43103,                0.16957,                 3.3497,                 1.9434,                 2.0002,              0.0089605,              0.0089605,              0.0089605
                     23,                 3.4002,                 2.0709,                 1.8944,                0.45453,                0.43693,                0.43947,                0.17643,                 3.3683,                 1.9201,                 1.9794,               0.008911,               0.008911,               0.008911
                     24,                 3.3966,                 2.0711,                 1.9008,                0.50413,                0.42468,                0.47451,                0.19977,                 3.2838,                 1.8817,                 1.9732,              0.0088615,              0.0088615,              0.0088615
                     25,                 3.3899,                 2.0544,                 1.8942,                0.51498,                0.41255,                0.46736,                0.18057,                 3.3032,                 1.8846,                 1.9831,               0.008812,               0.008812,               0.008812
                     26,                 3.3727,                 2.0428,                 1.8894,                 0.5478,                0.44093,                0.49176,                0.20522,                  3.286,                 1.8305,                 1.9744,              0.0087625,              0.0087625,              0.0087625
                     27,                 3.3274,                 2.0252,                 1.8814,                0.48835,                0.43516,                0.47552,                0.19442,                 3.2439,                 1.8594,                 1.9626,               0.008713,               0.008713,               0.008713
                     28,                 3.3125,                 2.0071,                 1.8732,                0.49096,                0.44545,                0.48392,                0.20503,                 3.2017,                 1.8138,                 1.9274,              0.0086635,              0.0086635,              0.0086635
                     29,                 3.2845,                 1.9935,                 1.8648,                0.52252,                0.46592,                 0.5144,                0.21523,                 3.1679,                 1.7815,                 1.9222,               0.008614,               0.008614,               0.008614
                     30,                 3.2748,                 1.9949,                  1.873,                0.53679,                0.46526,                0.52238,                0.21894,                 3.1196,                 1.8014,                 1.9246,              0.0085645,              0.0085645,              0.0085645
                     31,                 3.2555,                 1.9618,                 1.8546,                0.52938,                0.46584,                0.52102,                0.22104,                  3.103,                 1.7663,                 1.9164,               0.008515,               0.008515,               0.008515
                     32,                 3.2189,                 1.9469,                 1.8521,                0.54333,                0.46474,                0.51995,                0.21996,                  3.077,                 1.7361,                 1.8964,              0.0084655,              0.0084655,              0.0084655
                     33,                 3.2055,                 1.9445,                 1.8444,                0.55672,                0.48067,                 0.5344,                0.22717,                  3.075,                 1.7379,                 1.8981,               0.008416,               0.008416,               0.008416
                     34,                 3.2143,                 1.9343,                 1.8425,                0.60493,                0.47318,                0.54622,                0.22895,                 3.0671,                  1.721,                 1.8943,              0.0083665,              0.0083665,              0.0083665
                     35,                 3.2043,                 1.9205,                 1.8331,                0.56727,                0.51409,                0.55236,                0.24047,                 3.0608,                 1.7153,                  1.884,               0.008317,               0.008317,               0.008317
                     36,                 3.1648,                 1.9014,                 1.8323,                0.59337,                0.47771,                0.55658,                0.24375,                 3.0268,                 1.6825,                 1.8774,              0.0082675,              0.0082675,              0.0082675
                     37,                 3.1429,                 1.8914,                 1.8205,                0.57846,                0.50718,                0.57148,                0.25076,                 2.9592,                 1.6708,                 1.8758,               0.008218,               0.008218,               0.008218
                     38,                  3.142,                 1.8754,                 1.8212,                0.61748,                 0.4875,                0.56585,                0.24777,                 2.9757,                 1.6718,                 1.8696,              0.0081685,              0.0081685,              0.0081685
                     39,                 3.1525,                 1.8684,                 1.8206,                0.60578,                0.49287,                0.57682,                0.24883,                 2.9545,                 1.6484,                 1.8642,               0.008119,               0.008119,               0.008119
                     40,                 3.0986,                 1.8598,                 1.8156,                0.61532,                0.50283,                0.57121,                0.25664,                 2.9194,                 1.6475,                  1.847,              0.0080695,              0.0080695,              0.0080695
                     41,                 3.1149,                 1.8436,                 1.8036,                0.61452,                0.53218,                0.58265,                0.25827,                 2.9198,                 1.6271,                 1.8419,                0.00802,                0.00802,                0.00802
                     42,                 3.0621,                 1.8342,                  1.803,                 0.6308,                0.52226,                0.58562,                0.26126,                  2.906,                 1.6133,                 1.8372,              0.0079705,              0.0079705,              0.0079705
                     43,                 3.0634,                  1.826,                  1.801,                0.62013,                0.55734,                0.59741,                0.27036,                 2.8681,                  1.599,                 1.8284,               0.007921,               0.007921,               0.007921
                     44,                 3.0341,                 1.8043,                 1.7963,                0.64204,                 0.5256,                0.60647,                0.27311,                  2.853,                 1.5877,                 1.8322,              0.0078715,              0.0078715,              0.0078715
                     45,                 3.0326,                 1.8001,                 1.7945,                 0.6506,                0.54466,                0.61571,                0.27815,                 2.8579,                 1.5866,                 1.8215,               0.007822,               0.007822,               0.007822
                     46,                 3.0107,                 1.7838,                 1.7855,                 0.6586,                0.55613,                0.63203,                0.28827,                 2.8288,                 1.5657,                 1.8153,              0.0077725,              0.0077725,              0.0077725
                     47,                 2.9827,                 1.7742,                 1.7827,                0.68319,                0.54966,                0.63925,                0.29144,                 2.8323,                 1.5551,                 1.8165,               0.007723,               0.007723,               0.007723
                     48,                 2.9622,                 1.7702,                  1.781,                0.67955,                0.54617,                0.63739,                0.28946,                 2.8141,                 1.5459,                  1.811,              0.0076735,              0.0076735,              0.0076735
                     49,                 2.9648,                 1.7521,                 1.7703,                0.66716,                 0.5747,                0.64483,                0.29394,                 2.7721,                 1.5314,                 1.7996,               0.007624,               0.007624,               0.007624
                     50,                 2.9752,                 1.7529,                 1.7697,                0.66458,                0.56691,                 0.6521,                 0.2992,                 2.7578,                 1.5213,                 1.7955,              0.0075745,              0.0075745,              0.0075745
                     51,                 2.9472,                 1.7451,                 1.7623,                0.69445,                0.56548,                 0.6574,                0.30533,                 2.7237,                  1.511,                 1.7857,               0.007525,               0.007525,               0.007525
                     52,                 2.9705,                 1.7466,                 1.7652,                0.69856,                0.57024,                0.65957,                0.31025,                 2.7208,                 1.5009,                 1.7817,              0.0074755,              0.0074755,              0.0074755
                     53,                 2.9328,                 1.7226,                 1.7563,                 0.7015,                0.57509,                0.66274,                0.31534,                 2.7129,                 1.4918,                 1.7793,               0.007426,               0.007426,               0.007426
                     54,                 2.9223,                 1.7126,                 1.7538,                0.69069,                0.57749,                0.66371,                0.31598,                 2.6992,                 1.4812,                 1.7769,              0.0073765,              0.0073765,              0.0073765
                     55,                 2.8744,                 1.6969,                 1.7512,                0.68465,                 0.5851,                0.67206,                0.31715,                 2.6768,                 1.4717,                 1.7736,               0.007327,               0.007327,               0.007327
                     56,                 2.9031,                 1.6938,                 1.7457,                0.68154,                0.59194,                0.67121,                0.32168,                 2.6736,                 1.4649,                 1.7679,              0.0072775,              0.0072775,              0.0072775
                     57,                 2.8667,                 1.6883,                 1.7425,                0.68341,                0.58209,                0.67269,                0.32179,                 2.6606,                 1.4601,                 1.7637,               0.007228,               0.007228,               0.007228
                     58,                 2.8628,                 1.6765,                  1.739,                0.64907,                0.59911,                0.66814,                0.32274,                 2.6463,                 1.4542,                 1.7606,              0.0071785,              0.0071785,              0.0071785
                     59,                 2.8482,                 1.6773,                 1.7423,                0.64228,                 0.6125,                0.68064,                0.32902,                 2.6389,                 1.4495,                 1.7571,               0.007129,               0.007129,               0.007129
                     60,                 2.8301,                 1.6588,                 1.7378,                0.66713,                0.60954,                0.68239,                0.33029,                 2.6271,                  1.442,                 1.7547,              0.0070795,              0.0070795,              0.0070795
                     61,                 2.8061,                 1.6544,                 1.7299,                0.68363,                0.60515,                0.68165,                0.33264,                 2.6167,                 1.4342,                 1.7547,                0.00703,                0.00703,                0.00703
                     62,                 2.8164,                  1.646,                 1.7216,                0.67851,                0.61401,                0.68369,                0.33438,                 2.6042,                 1.4276,                 1.7502,              0.0069805,              0.0069805,              0.0069805
                     63,                 2.8059,                 1.6359,                 1.7182,                0.66841,                0.60795,                0.67325,                0.33537,                 2.5976,                 1.4214,                 1.7463,               0.006931,               0.006931,               0.006931
                     64,                 2.7739,                 1.6179,                 1.7151,                0.67361,                0.61518,                0.67856,                0.33905,                 2.5953,                 1.4127,                 1.7431,              0.0068815,              0.0068815,              0.0068815
                     65,                 2.7867,                 1.6203,                 1.7132,                0.68266,                 0.6115,                0.68116,                0.33896,                 2.5861,                 1.4066,                 1.7414,               0.006832,               0.006832,               0.006832
                     66,                 2.7576,                 1.6137,                 1.7093,                 0.6866,                0.62475,                0.69147,                0.34179,                 2.5814,                 1.4014,                 1.7378,              0.0067825,              0.0067825,              0.0067825
                     67,                 2.7487,                 1.5972,                 1.7055,                0.70078,                0.62845,                0.70291,                0.34404,                 2.5707,                  1.397,                 1.7337,               0.006733,               0.006733,               0.006733
                     68,                 2.7433,                 1.5864,                 1.7026,                0.69395,                 0.6345,                0.70642,                0.34698,                  2.563,                 1.3931,                   1.73,              0.0066835,              0.0066835,              0.0066835
                     69,                 2.7369,                 1.5816,                 1.7039,                0.68596,                0.63802,                0.70621,                0.34901,                 2.5558,                 1.3885,                 1.7261,               0.006634,               0.006634,               0.006634
                     70,                 2.7257,                 1.5779,                 1.7001,                0.68563,                0.63895,                0.70054,                0.34984,                 2.5511,                 1.3844,                 1.7231,              0.0065845,              0.0065845,              0.0065845
                     71,                 2.7344,                 1.5697,                  1.689,                0.68573,                0.63834,                0.70213,                0.35343,                 2.5407,                 1.3793,                 1.7197,               0.006535,               0.006535,               0.006535
