                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 8.6743,                  4.373,                 3.9257,                0.40997,                0.11039,                0.00517,                0.00129,                 7.9126,                 3.9257,                 3.7868,              0.0033297,              0.0033297,              0.0033297
                      1,                 6.0632,                 3.5117,                 2.9268,                0.45736,                0.14368,                0.03392,                 0.0098,                 5.3835,                 3.7621,                 2.7868,              0.0066301,              0.0066301,              0.0066301
                      2,                  4.966,                 3.0334,                 2.4402,                0.48709,                0.08683,                0.05346,                0.01826,                 5.1094,                 3.1191,                 2.6037,              0.0098974,              0.0098974,              0.0098974
                      3,                 4.6128,                 2.8404,                 2.2724,                0.30242,                0.13381,                0.07758,                0.02606,                 4.6723,                 2.9292,                 2.3617,              0.0098515,              0.0098515,              0.0098515
                      4,                 4.3543,                 2.7012,                 2.1743,                0.22637,                0.19485,                0.12004,                0.03827,                 4.3454,                 2.7243,                 2.3079,              0.0098515,              0.0098515,              0.0098515
                      5,                 4.2232,                 2.6015,                 2.1161,                0.16571,                0.18135,                0.12029,                0.04092,                 4.4816,                 2.6398,                 2.2241,               0.009802,               0.009802,               0.009802
                      6,                 4.1415,                  2.524,                 2.0751,                0.19049,                0.20886,                0.15777,                0.05476,                 4.1513,                 2.4714,                 2.2155,              0.0097525,              0.0097525,              0.0097525
                      7,                 4.0534,                 2.4827,                  2.053,                0.19058,                0.27394,                0.16615,                 0.0562,                 4.0799,                 2.4777,                 2.1974,               0.009703,               0.009703,               0.009703
                      8,                  3.953,                 2.4346,                 2.0225,                0.24099,                0.31481,                0.20557,                0.07041,                 3.9553,                 2.3818,                 2.1243,              0.0096535,              0.0096535,              0.0096535
                      9,                 3.9187,                  2.381,                 2.0018,                0.36522,                0.26358,                0.23945,                0.08293,                 3.8838,                 2.3101,                 2.1207,               0.009604,               0.009604,               0.009604
                     10,                 3.8681,                 2.3512,                 1.9814,                0.30996,                0.31609,                0.26116,                0.09201,                 3.8607,                 2.2545,                 2.1044,              0.0095545,              0.0095545,              0.0095545
                     11,                 3.8148,                 2.3178,                 1.9708,                0.32078,                0.31708,                0.27801,                0.09782,                 3.7914,                 2.2269,                 2.0877,               0.009505,               0.009505,               0.009505
                     12,                 3.8109,                 2.2978,                 1.9416,                0.50644,                0.29972,                0.30886,                0.11204,                 3.9686,                 2.2044,                 2.0265,              0.0094555,              0.0094555,              0.0094555
                     13,                  3.791,                 2.2681,                 1.9377,                0.33073,                0.25184,                0.25609,                0.09335,                 3.8723,                 2.2149,                 2.0655,               0.009406,               0.009406,               0.009406
                     14,                 3.7854,                 2.2363,                 1.9238,                0.32649,                0.32053,                0.31897,                0.11577,                 3.7797,                 2.1107,                 2.0592,              0.0093565,              0.0093565,              0.0093565
                     15,                 3.7095,                 2.2276,                 1.9085,                0.40681,                0.37932,                0.36245,                 0.1288,                 3.6963,                 2.0675,                 2.0148,               0.009307,               0.009307,               0.009307
                     16,                 3.7185,                 2.2047,                 1.9032,                0.41547,                0.34812,                0.36085,                0.14069,                 3.6007,                 2.0609,                 1.9875,              0.0092575,              0.0092575,              0.0092575
                     17,                 3.6944,                 2.1858,                  1.901,                0.42304,                0.35099,                0.36196,                 0.1429,                 3.5515,                 2.0477,                 1.9969,               0.009208,               0.009208,               0.009208
                     18,                 3.6153,                 2.1656,                 1.8865,                0.40848,                0.39087,                0.39773,                0.14811,                 3.6403,                 2.0017,                 1.9504,              0.0091585,              0.0091585,              0.0091585
                     19,                 3.6087,                 2.1372,                 1.8747,                0.43761,                  0.408,                0.40576,                0.15379,                 3.5941,                 1.9994,                 1.9342,               0.009109,               0.009109,               0.009109
                     20,                 3.5896,                 2.1258,                 1.8684,                0.45484,                0.41581,                0.41511,                0.16275,                 3.5025,                 1.9579,                 1.9409,              0.0090595,              0.0090595,              0.0090595
                     21,                 3.5665,                 2.1031,                 1.8641,                0.43213,                0.42861,                0.42229,                0.15857,                 3.4014,                 1.9539,                  1.935,                0.00901,                0.00901,                0.00901
                     22,                  3.563,                 2.1085,                 1.8589,                0.46152,                0.40331,                0.43805,                0.16936,                  3.456,                 1.9358,                 1.9324,              0.0089605,              0.0089605,              0.0089605
                     23,                 3.5031,                 2.0608,                 1.8409,                0.45606,                0.39975,                0.44096,                0.17693,                 3.4749,                 1.9383,                 1.9273,               0.008911,               0.008911,               0.008911
