                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 8.7492,                 4.3795,                 3.9502,                0.00653,                0.14356,                0.00477,                0.00136,                 8.7395,                 3.9644,                 3.8751,              0.0033297,              0.0033297,              0.0033297
                      1,                 6.0036,                 3.5072,                 2.9715,                0.49329,                0.13759,                0.04336,                0.01521,                 6.3396,                 3.5424,                 3.1551,              0.0066301,              0.0066301,              0.0066301
                      2,                 4.7845,                 2.9987,                 2.4477,                0.28112,                0.06444,                0.02749,                 0.0083,                 7.0552,                 4.1586,                 3.1968,              0.0098974,              0.0098974,              0.0098974
                      3,                 4.4831,                 2.7983,                 2.2811,                0.34583,                0.15617,                0.11853,                0.04527,                 4.3383,                 2.7704,                  2.382,              0.0098515,              0.0098515,              0.0098515
                      4,                 4.2446,                 2.6702,                 2.1774,                0.18783,                0.23307,                0.13737,                  0.044,                 4.1717,                 2.6573,                 2.2803,              0.0098515,              0.0098515,              0.0098515
                      5,                 4.1082,                 2.5741,                  2.123,                0.19924,                0.23023,                0.15391,                0.05038,                  4.105,                 2.5564,                  2.263,               0.009802,               0.009802,               0.009802
                      6,                 4.0126,                 2.5013,                 2.0787,                0.17542,                0.25354,                 0.1704,                0.05642,                 4.1244,                 2.4874,                 2.2798,              0.0097525,              0.0097525,              0.0097525
                      7,                 3.9476,                 2.4552,                 2.0528,                0.25127,                0.25107,                0.19078,                0.06536,                 4.0335,                 2.4393,                 2.2194,               0.009703,               0.009703,               0.009703
                      8,                 3.8817,                 2.4189,                  2.033,                0.24035,                0.29999,                 0.2204,                0.07838,                 3.8848,                 2.3733,                 2.1519,              0.0096535,              0.0096535,              0.0096535
                      9,                 3.8245,                  2.366,                 2.0096,                0.25768,                0.29826,                0.24475,                0.08747,                  3.796,                 2.2488,                 2.1198,               0.009604,               0.009604,               0.009604
                     10,                  3.795,                 2.3335,                 1.9866,                0.26739,                0.33087,                0.25706,                0.09462,                 3.6823,                 2.2271,                 2.1066,              0.0095545,              0.0095545,              0.0095545
