                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  9.084,                 4.4459,                 4.0067,                0.00185,                 0.1812,                0.00386,                0.00118,                 8.8526,                 4.0203,                   3.92,              0.0033297,              0.0033297,              0.0033297
                      1,                 5.8954,                 3.5738,                 3.0067,                0.47889,                0.10067,                0.04658,                0.01431,                 5.2014,                 3.1988,                 2.8498,              0.0066301,              0.0066301,              0.0066301
                      2,                 4.7309,                 3.0765,                 2.4916,                 0.4936,                0.14501,                0.08805,                0.02885,                 4.6325,                 3.0997,                 2.5655,              0.0098974,              0.0098974,              0.0098974
                      3,                 4.4046,                  2.855,                 2.3262,                0.30305,                0.16622,                0.10498,                 0.0361,                 4.2767,                 2.9035,                 2.4442,              0.0098515,              0.0098515,              0.0098515
                      4,                 4.2169,                 2.7219,                 2.2354,                0.20874,                 0.2058,                0.11507,                0.03696,                  4.286,                 2.7663,                 2.3981,              0.0098515,              0.0098515,              0.0098515
                      5,                 4.0864,                 2.6245,                  2.184,                0.16537,                0.24315,                0.12924,                0.04454,                 4.2766,                 2.5478,                 2.3233,               0.009802,               0.009802,               0.009802
                      6,                 3.9875,                 2.5583,                 2.1473,                 0.1832,                0.22788,                0.15917,                0.05168,                 4.1927,                  2.535,                 2.3195,              0.0097525,              0.0097525,              0.0097525
                      7,                 3.8874,                 2.5017,                  2.115,                0.21942,                0.22603,                0.17365,                0.05873,                 4.0762,                 2.4114,                 2.2938,               0.009703,               0.009703,               0.009703
                      8,                 3.8304,                 2.4511,                 2.0822,                0.22137,                0.30575,                 0.2176,                0.07921,                 4.0114,                 2.4018,                 2.1795,              0.0096535,              0.0096535,              0.0096535
                      9,                 3.7904,                 2.4105,                 2.0591,                 0.2736,                0.29469,                0.22336,                0.08142,                 3.8231,                 2.3176,                  2.203,               0.009604,               0.009604,               0.009604
                     10,                 3.7516,                  2.374,                 2.0341,                 0.2902,                0.29102,                 0.2633,                 0.0927,                  3.681,                 2.2993,                 2.1355,              0.0095545,              0.0095545,              0.0095545
                     11,                 3.7095,                  2.337,                  2.014,                0.28809,                0.29126,                0.25854,                 0.0869,                 3.8721,                 2.2613,                 2.1503,               0.009505,               0.009505,               0.009505
                     12,                 3.7215,                 2.3128,                 1.9924,                0.35141,                0.30304,                0.27517,                0.10368,                  3.777,                 2.2069,                 2.1389,              0.0094555,              0.0094555,              0.0094555
                     13,                 3.6524,                 2.2923,                 1.9872,                0.30627,                0.31493,                0.30099,                0.11373,                 3.6449,                 2.1707,                  2.101,               0.009406,               0.009406,               0.009406
                     14,                 3.6752,                  2.263,                 1.9748,                 0.3282,                0.32465,                0.31445,                0.11504,                 3.6765,                 2.1478,                 2.1218,              0.0093565,              0.0093565,              0.0093565
                     15,                 3.6026,                 2.2443,                 1.9618,                 0.3547,                0.36834,                0.35331,                0.13692,                 3.6735,                 2.0949,                 2.0525,               0.009307,               0.009307,               0.009307
                     16,                 3.6129,                 2.2251,                 1.9552,                0.36052,                0.35767,                 0.3474,                0.13393,                 3.5146,                 2.0974,                 2.0422,              0.0092575,              0.0092575,              0.0092575
                     17,                 3.5733,                 2.2117,                 1.9502,                0.41211,                0.35506,                0.36565,                0.14111,                 3.5322,                  2.074,                 2.0635,               0.009208,               0.009208,               0.009208
                     18,                 3.5227,                 2.1883,                 1.9378,                 0.3775,                0.37604,                0.38697,                0.14063,                 3.6053,                 2.0198,                 2.0532,              0.0091585,              0.0091585,              0.0091585
                     19,                 3.5146,                 2.1623,                 1.9219,                0.45077,                0.37618,                0.39442,                0.15813,                 3.4145,                 2.0079,                 1.9961,               0.009109,               0.009109,               0.009109
                     20,                 3.5055,                 2.1492,                 1.9198,                0.48078,                0.40645,                0.41534,                 0.1615,                  3.461,                 1.9819,                 2.0077,              0.0090595,              0.0090595,              0.0090595
                     21,                  3.489,                 2.1267,                 1.9123,                0.50993,                0.36382,                0.41856,                0.16323,                 3.4515,                 1.9736,                 2.0198,                0.00901,                0.00901,                0.00901
                     22,                 3.4652,                 2.1275,                 1.9071,                 0.5164,                0.39818,                0.44575,                0.17115,                 3.3999,                 1.9249,                 2.0082,              0.0089605,              0.0089605,              0.0089605
                     23,                  3.425,                 2.0878,                 1.8878,                0.48256,                0.43956,                 0.4419,                0.17178,                 3.3507,                 1.9386,                 1.9798,               0.008911,               0.008911,               0.008911
                     24,                  3.424,                 2.0796,                 1.8864,                0.49141,                0.42742,                0.45574,                0.17805,                   3.35,                 1.9057,                 1.9709,              0.0088615,              0.0088615,              0.0088615
                     25,                 3.4173,                 2.0578,                 1.8776,                0.45282,                0.44667,                0.44988,                0.18064,                 3.2642,                 1.8644,                  1.946,               0.008812,               0.008812,               0.008812
                     26,                 3.3843,                 2.0516,                 1.8739,                0.60532,                0.40628,                0.49459,                0.20329,                 3.2744,                  1.845,                  1.935,              0.0087625,              0.0087625,              0.0087625
                     27,                 3.3915,                 2.0385,                 1.8684,                0.50212,                0.43129,                0.47302,                0.19985,                 3.1786,                  1.864,                 1.9331,               0.008713,               0.008713,               0.008713
                     28,                 3.3342,                 2.0114,                 1.8604,                0.54862,                 0.4301,                0.50933,                0.21253,                 3.2346,                 1.8183,                 1.9276,              0.0086635,              0.0086635,              0.0086635
                     29,                 3.3127,                 2.0008,                 1.8518,                0.51149,                0.45492,                0.50503,                0.22084,                 3.1286,                 1.8063,                 1.9082,               0.008614,               0.008614,               0.008614
                     30,                 3.3148,                 2.0077,                 1.8595,                 0.5654,                0.45187,                0.51839,                0.21725,                 3.1026,                 1.7894,                 1.8965,              0.0085645,              0.0085645,              0.0085645
                     31,                 3.2989,                 1.9875,                 1.8477,                0.54755,                0.47638,                0.52201,                0.21868,                 3.1079,                 1.7854,                 1.9087,               0.008515,               0.008515,               0.008515
                     32,                 3.2582,                 1.9645,                 1.8404,                0.55179,                0.46251,                0.53095,                0.22834,                 3.0803,                 1.7705,                 1.8858,              0.0084655,              0.0084655,              0.0084655
                     33,                 3.2568,                 1.9569,                 1.8354,                0.59073,                0.48262,                0.53874,                0.23203,                 3.0281,                 1.7574,                 1.8852,               0.008416,               0.008416,               0.008416
                     34,                  3.272,                 1.9418,                 1.8357,                0.60446,                0.48352,                0.54789,                0.24277,                 3.0515,                 1.7152,                  1.874,              0.0083665,              0.0083665,              0.0083665
                     35,                 3.2551,                 1.9321,                 1.8233,                 0.6026,                 0.4751,                0.55587,                0.24342,                 3.0234,                  1.699,                 1.8626,               0.008317,               0.008317,               0.008317
                     36,                  3.213,                  1.912,                 1.8179,                0.61126,                  0.493,                0.56187,                0.24884,                 3.0202,                  1.694,                  1.864,              0.0082675,              0.0082675,              0.0082675
                     37,                 3.1906,                 1.8994,                 1.8144,                0.59262,                 0.5135,                0.56764,                 0.2447,                  3.004,                 1.6909,                 1.8554,               0.008218,               0.008218,               0.008218
                     38,                 3.2031,                 1.8955,                 1.8149,                 0.6096,                0.48769,                0.56117,                0.25557,                 2.9461,                 1.6753,                 1.8508,              0.0081685,              0.0081685,              0.0081685
                     39,                 3.1874,                 1.8815,                 1.8101,                0.65056,                0.52002,                0.58374,                0.25957,                 2.9382,                 1.6544,                 1.8495,               0.008119,               0.008119,               0.008119
                     40,                 3.1436,                 1.8762,                 1.8018,                0.67074,                0.48867,                0.58763,                0.26145,                 2.9294,                 1.6543,                 1.8447,              0.0080695,              0.0080695,              0.0080695
                     41,                 3.1555,                 1.8669,                 1.8002,                0.68063,                0.50136,                0.59329,                0.26882,                 2.9437,                 1.6459,                  1.837,                0.00802,                0.00802,                0.00802
                     42,                 3.1366,                 1.8511,                  1.796,                0.67986,                0.50654,                0.59734,                0.26971,                 2.9303,                 1.6267,                 1.8279,              0.0079705,              0.0079705,              0.0079705
                     43,                 3.1125,                 1.8353,                 1.7881,                0.65349,                 0.5351,                0.60856,                0.27614,                 2.8603,                 1.6195,                  1.818,               0.007921,               0.007921,               0.007921
                     44,                 3.0928,                 1.8256,                 1.7892,                0.66263,                0.54622,                0.61073,                 0.2768,                 2.8281,                 1.6019,                 1.8113,              0.0078715,              0.0078715,              0.0078715
