                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 8.8691,                 4.4924,                 4.0394,                0.41313,                0.09073,                0.00516,                0.00145,                  7.707,                 3.8892,                 3.7396,              0.0033297,              0.0033297,              0.0033297
                      1,                 5.7756,                 3.5567,                 2.9942,                0.47131,                0.15398,                0.05154,                0.01595,                 5.1447,                 3.2003,                 2.8478,              0.0066301,              0.0066301,              0.0066301
                      2,                  4.676,                  3.033,                 2.4815,                0.48761,                0.13976,                 0.0624,                0.02088,                  4.782,                 3.0857,                 2.6327,              0.0098974,              0.0098974,              0.0098974
                      3,                 4.3596,                 2.8285,                 2.3124,                0.34303,                0.18075,                0.11095,                0.03443,                 4.1968,                 2.7934,                 2.4308,              0.0098515,              0.0098515,              0.0098515
                      4,                 4.1001,                 2.6809,                 2.2162,                0.20256,                0.22251,                0.13732,                0.04749,                 4.0003,                 2.7606,                 2.3019,              0.0098515,              0.0098515,              0.0098515
                      5,                 3.9679,                 2.5785,                 2.1524,                0.39518,                0.18601,                0.16947,                0.05927,                 3.9755,                 2.5132,                 2.3215,               0.009802,               0.009802,               0.009802
                      6,                 3.9031,                 2.5027,                 2.1122,                0.24121,                0.22824,                0.19261,                0.06602,                 3.9593,                 2.4764,                 2.2523,              0.0097525,              0.0097525,              0.0097525
                      7,                 3.8326,                 2.4516,                  2.085,                0.23272,                0.25061,                0.19073,                0.07048,                 3.7405,                  2.399,                 2.2205,               0.009703,               0.009703,               0.009703
                      8,                   3.73,                 2.4091,                 2.0481,                0.21879,                0.26756,                0.21624,                 0.0787,                 3.7139,                 2.4016,                 2.1839,              0.0096535,              0.0096535,              0.0096535
                      9,                 3.6764,                 2.3632,                  2.027,                0.27532,                0.28447,                0.23447,                0.08478,                 3.5473,                 2.2659,                 2.1365,               0.009604,               0.009604,               0.009604
