                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 8.9866,                  4.506,                 4.0185,                0.00157,                 0.2383,                0.00442,                0.00125,                 7.8811,                 3.9065,                 3.7096,              0.0033297,              0.0033297,              0.0033297
                      1,                  5.826,                 3.5874,                 3.0086,                0.45986,                0.10691,                0.03541,                0.01239,                  5.066,                 3.4128,                 2.8758,              0.0066521,              0.0066521,              0.0066521
                      2,                 4.6357,                 3.0482,                 2.4854,                0.50678,                0.10124,                  0.065,                0.02157,                 4.7625,                 3.0186,                   2.61,              0.0099634,              0.0099634,              0.0099634
                      3,                 4.3394,                 2.8398,                 2.3131,                0.31645,                0.15577,                0.09443,                0.03376,                 4.3411,                 2.7806,                  2.424,              0.0099505,              0.0099505,              0.0099505
                      4,                 4.1265,                 2.7262,                 2.2125,                0.21324,                 0.1907,                0.12256,                0.04048,                 4.1031,                 2.7575,                  2.343,              0.0099505,              0.0099505,              0.0099505
                      5,                 4.0177,                 2.6158,                 2.1564,                0.33453,                0.15493,                0.11712,                0.03918,                 4.1174,                 2.6421,                 2.3017,               0.009934,               0.009934,               0.009934
                      6,                 3.9562,                 2.5478,                 2.1167,                0.19683,                0.22079,                0.15088,                0.05057,                  4.111,                 2.5376,                 2.2398,              0.0099175,              0.0099175,              0.0099175
                      7,                 3.8902,                 2.4994,                 2.0934,                0.20956,                0.23263,                0.17953,                0.06033,                 3.9487,                 2.4341,                  2.261,               0.009901,               0.009901,               0.009901
                      8,                 3.7882,                 2.4515,                  2.061,                 0.3721,                0.25969,                0.21112,                0.07705,                 3.7747,                 2.3852,                 2.1943,              0.0098845,              0.0098845,              0.0098845
                      9,                 3.7494,                 2.4106,                 2.0426,                0.24532,                 0.2806,                 0.2239,                0.08123,                 3.6985,                 2.3105,                 2.1429,               0.009868,               0.009868,               0.009868
                     10,                 3.7283,                  2.371,                 2.0226,                0.24559,                0.30672,                0.23363,                0.08103,                 3.5899,                  2.295,                  2.117,              0.0098515,              0.0098515,              0.0098515
                     11,                 3.6742,                 2.3514,                 2.0061,                0.28119,                0.30907,                0.24885,                 0.0928,                 3.6282,                 2.2244,                 2.1297,               0.009835,               0.009835,               0.009835
                     12,                 3.6807,                 2.3167,                 1.9865,                0.34963,                0.28674,                0.27314,                0.10412,                 3.7653,                 2.2184,                 2.0702,              0.0098185,              0.0098185,              0.0098185
                     13,                 3.6397,                 2.2911,                 1.9838,                 0.2972,                0.33056,                0.28696,                0.10796,                 3.6364,                 2.2149,                 2.0761,               0.009802,               0.009802,               0.009802
                     14,                  3.649,                 2.2611,                 1.9696,                0.34364,                0.31451,                0.31654,                0.11623,                 3.5787,                 2.1572,                 2.0811,              0.0097855,              0.0097855,              0.0097855
                     15,                 3.5569,                 2.2426,                 1.9567,                0.33758,                0.34943,                0.31179,                0.12122,                 3.4323,                 2.1075,                 2.0518,               0.009769,               0.009769,               0.009769
                     16,                 3.5878,                 2.2265,                 1.9489,                0.36862,                0.35634,                 0.3373,                0.12823,                 3.4453,                 2.1103,                 2.0488,              0.0097525,              0.0097525,              0.0097525
                     17,                 3.5834,                 2.2081,                  1.949,                0.38638,                0.35342,                0.36415,                0.13996,                 3.4046,                 2.0721,                 2.0298,               0.009736,               0.009736,               0.009736
                     18,                 3.5157,                 2.1862,                 1.9372,                0.42768,                0.40382,                  0.394,                 0.1453,                 3.4971,                 2.0561,                 2.0309,              0.0097195,              0.0097195,              0.0097195
                     19,                 3.5164,                 2.1652,                 1.9271,                0.60424,                0.29153,                0.37561,                0.14543,                 3.4448,                 2.0252,                 2.0171,               0.009703,               0.009703,               0.009703
                     20,                 3.5101,                 2.1471,                 1.9208,                0.42768,                0.39368,                0.41284,                0.16265,                 3.3315,                 1.9843,                 1.9935,              0.0096865,              0.0096865,              0.0096865
                     21,                 3.4762,                 2.1275,                 1.9161,                0.51327,                0.37804,                 0.4359,                0.16972,                 3.2729,                 1.9611,                 1.9822,                0.00967,                0.00967,                0.00967
                     22,                 3.4633,                 2.1273,                 1.9111,                0.44874,                0.41125,                0.44212,                0.17361,                 3.3078,                 1.9419,                 1.9817,              0.0096535,              0.0096535,              0.0096535
                     23,                 3.3976,                  2.079,                 1.8892,                0.42808,                0.44444,                0.45901,                0.17933,                 3.2833,                 1.9269,                 1.9727,               0.009637,               0.009637,               0.009637
                     24,                 3.4029,                 2.0752,                 1.8881,                0.45535,                0.42626,                 0.4481,                0.18056,                 3.2809,                 1.8961,                 1.9645,              0.0096205,              0.0096205,              0.0096205
                     25,                  3.407,                 2.0596,                 1.8867,                0.46146,                0.39899,                0.45218,                0.18595,                 3.2698,                 1.8865,                 1.9272,               0.009604,               0.009604,               0.009604
                     26,                 3.3851,                  2.046,                 1.8844,                0.45899,                0.42488,                 0.4716,                0.19276,                  3.206,                 1.8751,                 1.9248,              0.0095875,              0.0095875,              0.0095875
                     27,                 3.3642,                 2.0367,                 1.8756,                0.50923,                0.43283,                 0.4714,                0.19077,                 3.2161,                 1.8736,                 1.9308,               0.009571,               0.009571,               0.009571
                     28,                 3.3508,                 2.0155,                 1.8714,                0.53933,                0.41047,                0.49363,                0.20091,                 3.1795,                 1.8424,                 1.9122,              0.0095545,              0.0095545,              0.0095545
                     29,                 3.3083,                  2.007,                 1.8544,                0.54745,                0.43455,                0.50887,                0.21588,                 3.1291,                 1.8235,                 1.8953,               0.009538,               0.009538,               0.009538
                     30,                 3.2872,                 1.9994,                 1.8594,                0.54539,                0.45996,                0.51108,                0.21713,                 3.1291,                 1.8201,                  1.887,              0.0095215,              0.0095215,              0.0095215
                     31,                  3.282,                  1.983,                  1.848,                0.63066,                0.42598,                0.52337,                0.22311,                 3.0806,                 1.7808,                 1.8856,               0.009505,               0.009505,               0.009505
                     32,                 3.2498,                 1.9615,                 1.8417,                0.61624,                0.44855,                0.53871,                0.23337,                 3.0037,                  1.745,                 1.8761,              0.0094885,              0.0094885,              0.0094885
                     33,                 3.2448,                 1.9588,                   1.83,                0.58877,                  0.456,                0.54293,                0.23547,                  2.963,                 1.7448,                 1.8599,               0.009472,               0.009472,               0.009472
                     34,                 3.2507,                 1.9464,                 1.8387,                0.56114,                0.48174,                0.54153,                0.24112,                 2.9757,                 1.7387,                 1.8563,              0.0094555,              0.0094555,              0.0094555
                     35,                 3.2425,                 1.9325,                 1.8249,                0.59889,                0.48238,                0.55664,                0.24236,                 3.0025,                 1.7222,                 1.8552,               0.009439,               0.009439,               0.009439
                     36,                 3.2027,                 1.9241,                 1.8237,                0.57613,                0.48853,                0.55728,                0.24644,                 2.9701,                 1.7188,                   1.84,              0.0094225,              0.0094225,              0.0094225
                     37,                 3.1768,                 1.9081,                 1.8152,                0.54941,                0.49526,                0.54752,                0.24556,                 2.9609,                 1.7127,                 1.8314,               0.009406,               0.009406,               0.009406
                     38,                 3.1932,                 1.8974,                 1.8123,                0.57619,                 0.5086,                 0.5613,                0.25266,                 2.9305,                 1.6887,                 1.8178,              0.0093895,              0.0093895,              0.0093895
                     39,                 3.1751,                 1.8858,                 1.8132,                0.61063,                0.50652,                0.57372,                0.25484,                 2.9292,                 1.6749,                 1.8288,               0.009373,               0.009373,               0.009373
                     40,                 3.1362,                 1.8767,                 1.8051,                0.61863,                0.50395,                 0.5713,                0.25631,                 2.9456,                 1.6632,                 1.8245,              0.0093565,              0.0093565,              0.0093565
                     41,                 3.1737,                 1.8638,                 1.8004,                  0.578,                0.52715,                0.58068,                0.25928,                 2.9276,                 1.6516,                 1.8187,                0.00934,                0.00934,                0.00934
                     42,                 3.1096,                 1.8598,                 1.7972,                0.59847,                0.52696,                0.59174,                0.26414,                 2.8625,                 1.6319,                 1.8139,              0.0093235,              0.0093235,              0.0093235
                     43,                 3.1263,                 1.8422,                 1.7967,                0.62814,                0.51406,                0.60403,                0.26889,                 2.8622,                 1.6261,                 1.8119,               0.009307,               0.009307,               0.009307
                     44,                 3.0835,                 1.8294,                 1.7921,                 0.6125,                0.54285,                0.60495,                0.27248,                 2.8475,                 1.6081,                 1.8133,              0.0092905,              0.0092905,              0.0092905
                     45,                  3.085,                  1.816,                 1.7876,                0.62723,                0.52722,                 0.6107,                0.27901,                 2.8015,                 1.5999,                 1.8024,               0.009274,               0.009274,               0.009274
                     46,                 3.0689,                 1.7995,                 1.7744,                0.63796,                0.54608,                0.61971,                0.29114,                 2.7802,                 1.5791,                 1.7917,              0.0092575,              0.0092575,              0.0092575
                     47,                 3.0438,                 1.7981,                  1.773,                0.62528,                0.56799,                0.62136,                0.29248,                 2.7756,                 1.5727,                 1.7873,               0.009241,               0.009241,               0.009241
                     48,                 3.0262,                 1.7951,                 1.7754,                0.60463,                0.56327,                0.60881,                 0.2904,                 2.7672,                 1.5637,                 1.7805,              0.0092245,              0.0092245,              0.0092245
                     49,                 3.0273,                 1.7778,                 1.7717,                0.60303,                0.56188,                0.60916,                0.29344,                 2.7366,                 1.5553,                  1.779,               0.009208,               0.009208,               0.009208
                     50,                 3.0271,                 1.7758,                 1.7664,                0.61631,                0.56325,                0.62123,                0.29545,                 2.7211,                  1.547,                  1.774,              0.0091915,              0.0091915,              0.0091915
                     51,                 3.0164,                  1.776,                 1.7668,                0.65384,                0.57029,                0.64002,                0.30146,                 2.7063,                 1.5385,                 1.7671,               0.009175,               0.009175,               0.009175
                     52,                  3.014,                 1.7675,                 1.7591,                0.63728,                 0.5786,                0.64535,                0.30727,                 2.6917,                 1.5312,                 1.7622,              0.0091585,              0.0091585,              0.0091585
