                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 8.9178,                 4.4738,                 4.0275,                0.00194,                0.28002,                 0.0047,                0.00134,                 8.3987,                 3.8222,                 3.8098,              0.0033297,              0.0033297,              0.0033297
                      1,                 5.8487,                 3.5771,                 2.9816,                0.00569,                0.23069,                0.00624,                0.00199,                  7.252,                 4.3698,                 3.6047,              0.0066301,              0.0066301,              0.0066301
                      2,                 4.6853,                 3.0639,                 2.4759,                0.48794,                0.13814,                0.07053,                0.02427,                 4.8016,                 3.0359,                 2.6145,              0.0098974,              0.0098974,              0.0098974
                      3,                 4.3953,                 2.8561,                 2.3217,                0.34914,                0.17932,                0.10163,                0.03473,                  4.286,                 2.7711,                  2.408,              0.0098515,              0.0098515,              0.0098515
                      4,                 4.1905,                 2.7294,                 2.2199,                0.21813,                0.19114,                0.10576,                0.03658,                 4.1313,                 2.7341,                 2.3666,              0.0098515,              0.0098515,              0.0098515
                      5,                 4.0766,                 2.6309,                 2.1613,                0.28213,                0.19038,                  0.157,                0.05587,                 3.9682,                 2.5301,                 2.3412,               0.009802,               0.009802,               0.009802
                      6,                 3.9957,                 2.5491,                 2.1233,                0.18666,                0.20767,                 0.1624,                0.05511,                 4.1053,                 2.5012,                 2.2557,              0.0097525,              0.0097525,              0.0097525
                      7,                 3.9161,                 2.4999,                 2.0957,                0.27461,                0.21013,                0.18637,                0.06319,                 4.0839,                 2.4083,                 2.2283,               0.009703,               0.009703,               0.009703
                      8,                 3.8274,                 2.4554,                 2.0593,                0.22776,                0.26398,                0.20954,                0.07385,                 3.9392,                 2.4215,                 2.2052,              0.0096535,              0.0096535,              0.0096535
                      9,                 3.7778,                 2.4089,                 2.0409,                0.28503,                0.29938,                0.22653,                0.08152,                 3.7062,                 2.3185,                 2.1425,               0.009604,               0.009604,               0.009604
                     10,                 3.7551,                 2.3767,                  2.018,                0.27715,                0.35115,                0.25253,                0.08875,                 3.7213,                 2.2695,                 2.1553,              0.0095545,              0.0095545,              0.0095545
                     11,                 3.7142,                 2.3464,                 2.0063,                0.30662,                 0.2929,                0.26886,                0.09453,                 3.6819,                 2.2319,                 2.1306,               0.009505,               0.009505,               0.009505
