                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 7.2376,                 6.8568,                 3.5667,                0.44222,                 0.1461,                0.03038,                0.00856,                 7.3118,                 8.2464,                 3.5875,               0.084017,              0.0039957,              0.0039957
                      1,                 5.8787,                 6.1042,                 3.2025,                0.29184,                0.04321,                0.02096,                0.00568,                 7.9503,                 7.3264,                 3.7372,               0.068017,              0.0079952,              0.0079952
                      2,                    nan,                    nan,                    nan,                0.43483,                0.04275,                0.02116,                 0.0057,                    nan,                    nan,                    nan,               0.052014,               0.011993,               0.011993
                      3,                    nan,                    nan,                    nan,                 0.4347,                0.04306,                 0.0214,                0.00582,                    nan,                    nan,                    nan,               0.036008,               0.015987,               0.015987
                      4,                    nan,                    nan,                    nan,                 0.4344,                0.04462,                0.02159,                0.00583,                    nan,                    nan,                    nan,               0.019998,               0.019976,               0.019976
                      5,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019969,               0.019969,               0.019969
                      6,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019969,               0.019969,               0.019969
                      7,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019956,               0.019956,               0.019956
                      8,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,                0.01994,                0.01994,                0.01994
                      9,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019921,               0.019921,               0.019921
                     10,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,                 0.0199,                 0.0199,                 0.0199
                     11,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019877,               0.019877,               0.019877
                     12,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019851,               0.019851,               0.019851
                     13,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019823,               0.019823,               0.019823
                     14,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019792,               0.019792,               0.019792
                     15,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019759,               0.019759,               0.019759
                     16,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019724,               0.019724,               0.019724
                     17,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019686,               0.019686,               0.019686
                     18,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019646,               0.019646,               0.019646
                     19,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019603,               0.019603,               0.019603
                     20,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019558,               0.019558,               0.019558
                     21,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019511,               0.019511,               0.019511
                     22,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019461,               0.019461,               0.019461
                     23,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019409,               0.019409,               0.019409
                     24,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019355,               0.019355,               0.019355
                     25,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019298,               0.019298,               0.019298
                     26,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,                0.01924,                0.01924,                0.01924
                     27,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019178,               0.019178,               0.019178
                     28,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019115,               0.019115,               0.019115
                     29,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.019049,               0.019049,               0.019049
                     30,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.018981,               0.018981,               0.018981
                     31,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.018911,               0.018911,               0.018911
                     32,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.018839,               0.018839,               0.018839
                     33,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.018764,               0.018764,               0.018764
                     34,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.018688,               0.018688,               0.018688
                     35,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.018609,               0.018609,               0.018609
                     36,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.018528,               0.018528,               0.018528
                     37,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.018445,               0.018445,               0.018445
                     38,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,                0.01836,                0.01836,                0.01836
                     39,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.018273,               0.018273,               0.018273
                     40,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.018183,               0.018183,               0.018183
                     41,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.018092,               0.018092,               0.018092
                     42,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.017999,               0.017999,               0.017999
                     43,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.017904,               0.017904,               0.017904
                     44,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.017806,               0.017806,               0.017806
                     45,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.017707,               0.017707,               0.017707
                     46,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.017606,               0.017606,               0.017606
                     47,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.017504,               0.017504,               0.017504
                     48,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.017399,               0.017399,               0.017399
                     49,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.017292,               0.017292,               0.017292
                     50,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.017184,               0.017184,               0.017184
                     51,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.017074,               0.017074,               0.017074
                     52,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.016962,               0.016962,               0.016962
                     53,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.016849,               0.016849,               0.016849
                     54,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.016733,               0.016733,               0.016733
                     55,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.016617,               0.016617,               0.016617
                     56,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.016498,               0.016498,               0.016498
                     57,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.016378,               0.016378,               0.016378
                     58,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.016256,               0.016256,               0.016256
                     59,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.016133,               0.016133,               0.016133
                     60,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.016008,               0.016008,               0.016008
                     61,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.015882,               0.015882,               0.015882
                     62,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.015754,               0.015754,               0.015754
                     63,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.015625,               0.015625,               0.015625
                     64,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.015495,               0.015495,               0.015495
                     65,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.015363,               0.015363,               0.015363
                     66,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,                0.01523,                0.01523,                0.01523
                     67,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.015095,               0.015095,               0.015095
                     68,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,                0.01496,                0.01496,                0.01496
                     69,                    nan,                    nan,                    nan,                0.43586,                0.04399,                0.02151,                0.00593,                    nan,                    nan,                    nan,               0.014823,               0.014823,               0.014823
