                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 7.4243,                  6.841,                  3.533,                0.45414,                0.05265,                0.01291,                0.00412,                 9.2142,                   8.98,                 3.8277,               0.084017,              0.0039957,              0.0039957
                      1,                  6.096,                 6.1122,                 3.1836,                0.46974,                0.09426,                0.03157,                 0.0095,                 7.6923,                 7.0213,                 3.4083,               0.068017,              0.0079952,              0.0079952
                      2,                 5.8507,                 5.8828,                 3.1008,                0.65917,                0.11037,                0.08513,                0.02698,                 6.8298,                 6.8406,                 3.3827,               0.052014,               0.011993,               0.011993
                      3,                 5.6933,                  5.708,                 3.0366,                0.49891,                0.11362,                0.08431,                0.02541,                 6.7519,                 5.7317,                 3.3833,               0.036008,               0.015987,               0.015987
                      4,                 5.5017,                 5.5433,                 2.9937,                0.28333,                 0.1785,                0.11978,                0.04118,                 6.4086,                 5.7189,                 3.2791,               0.019998,               0.019976,               0.019976
                      5,                 5.5029,                 5.3996,                 2.9648,                0.18225,                0.28433,                0.14781,                0.05098,                 6.1483,                 5.0958,                  3.134,               0.019969,               0.019969,               0.019969
                      6,                 5.3545,                 5.2568,                 2.9215,                 0.2665,                0.20933,                0.15827,                0.05292,                 6.3257,                 5.0853,                    3.2,               0.019969,               0.019969,               0.019969
                      7,                 5.3258,                 5.1632,                 2.8901,                0.18712,                0.21516,                0.18352,                0.06222,                 5.9594,                 4.9609,                 3.1136,               0.019956,               0.019956,               0.019956
                      8,                 5.3058,                 5.0742,                 2.8688,                0.20144,                0.21553,                0.19045,                0.07142,                 5.8319,                 4.9251,                 3.0053,                0.01994,                0.01994,                0.01994
                      9,                 5.2329,                 5.0015,                 2.8422,                0.35439,                0.26495,                0.21826,                0.07264,                 5.6419,                  4.791,                 3.0293,               0.019921,               0.019921,               0.019921
                     10,                 5.2234,                 4.9768,                 2.8389,                0.32948,                0.27982,                0.25484,                0.09464,                 5.4859,                  4.595,                 2.9779,                 0.0199,                 0.0199,                 0.0199
                     11,                 5.1409,                 4.8941,                 2.8116,                 0.3247,                0.30355,                 0.2605,                0.09068,                 5.4319,                 4.4612,                 2.9852,               0.019877,               0.019877,               0.019877
                     12,                 5.1504,                 4.8574,                 2.7975,                0.32426,                0.31543,                0.26649,                0.09465,                 5.4032,                 4.3585,                 2.9354,               0.019851,               0.019851,               0.019851
                     13,                 5.1409,                 4.8116,                 2.7836,                0.29403,                0.31247,                0.25143,                0.09267,                 5.4292,                 4.4561,                 2.9111,               0.019823,               0.019823,               0.019823
                     14,                   5.09,                 4.7888,                 2.7772,                0.29348,                0.34447,                0.27472,                0.09274,                 5.4746,                 4.3487,                 2.9118,               0.019792,               0.019792,               0.019792
                     15,                 5.0617,                 4.7134,                 2.7585,                0.28789,                0.36304,                0.27376,                0.09668,                  5.333,                 4.3558,                 2.8909,               0.019759,               0.019759,               0.019759
                     16,                 5.0737,                 4.7036,                 2.7502,                0.35499,                 0.3349,                0.31302,                0.11466,                 5.5051,                 4.2651,                 2.8996,               0.019724,               0.019724,               0.019724
                     17,                 5.0208,                 4.6593,                 2.7427,                 0.3376,                0.36108,                0.32883,                0.11374,                 5.4199,                 4.2303,                 2.9015,               0.019686,               0.019686,               0.019686
                     18,                 5.0316,                 4.6604,                 2.7441,                0.35581,                0.37012,                0.33825,                 0.1177,                 5.2475,                 4.1484,                 2.8653,               0.019646,               0.019646,               0.019646
                     19,                 4.9916,                 4.5915,                 2.7237,                0.37208,                0.35229,                 0.3466,                0.12739,                 5.0761,                 4.0727,                 2.8107,               0.019603,               0.019603,               0.019603
                     20,                 4.9965,                 4.5878,                 2.7164,                0.36529,                0.36418,                0.34093,                0.12792,                 5.0573,                 4.0995,                  2.807,               0.019558,               0.019558,               0.019558
                     21,                 4.9744,                 4.5667,                  2.713,                0.39015,                0.35481,                0.36698,                0.13221,                 4.9809,                 4.1548,                  2.828,               0.019511,               0.019511,               0.019511
                     22,                 4.9779,                 4.5273,                 2.7129,                 0.4125,                0.38614,                0.39573,                0.14938,                 5.0586,                 4.0203,                 2.7752,               0.019461,               0.019461,               0.019461
                     23,                 4.9837,                 4.5079,                 2.7007,                0.43845,                0.39598,                0.39913,                0.14137,                 4.9416,                 3.9818,                 2.7709,               0.019409,               0.019409,               0.019409
                     24,                 4.9157,                 4.5065,                 2.7035,                0.45328,                0.38791,                0.40202,                0.15118,                 4.8616,                 4.0054,                 2.7728,               0.019355,               0.019355,               0.019355
                     25,                 4.8873,                 4.4738,                 2.6935,                 0.4185,                0.40899,                0.40356,                0.15228,                 4.9356,                 3.9901,                   2.79,               0.019298,               0.019298,               0.019298
                     26,                 4.8796,                 4.4395,                  2.687,                0.45696,                0.38295,                0.41354,                0.15786,                 4.8892,                 3.9863,                 2.7715,                0.01924,                0.01924,                0.01924
                     27,                 4.8298,                 4.4057,                 2.6737,                0.44798,                0.38743,                 0.4134,                0.15851,                   4.88,                 3.9624,                 2.7441,               0.019178,               0.019178,               0.019178
                     28,                  4.837,                 4.3995,                 2.6712,                0.46187,                0.39823,                0.41558,                0.15979,                 4.8774,                 3.9282,                 2.7592,               0.019115,               0.019115,               0.019115
                     29,                 4.8289,                 4.3712,                 2.6689,                0.47304,                0.40585,                0.43335,                0.16758,                 4.8462,                 3.8944,                 2.7252,               0.019049,               0.019049,               0.019049
                     30,                 4.7991,                 4.3412,                 2.6654,                0.50733,                0.36752,                0.42905,                0.16787,                 4.8151,                 3.9299,                 2.7433,               0.018981,               0.018981,               0.018981
                     31,                 4.7653,                 4.3192,                 2.6627,                0.48526,                0.40984,                0.43124,                0.16919,                 4.8018,                 3.9191,                 2.7502,               0.018911,               0.018911,               0.018911
                     32,                 4.7553,                  4.337,                 2.6597,                0.49876,                0.39684,                0.44505,                0.17152,                 4.8317,                 3.8846,                 2.7454,               0.018839,               0.018839,               0.018839
                     33,                 4.7285,                 4.3135,                 2.6543,                0.48936,                0.41012,                0.45435,                0.17911,                 4.8268,                 3.8245,                 2.7404,               0.018764,               0.018764,               0.018764
                     34,                 4.7279,                 4.2879,                  2.645,                0.52567,                0.42033,                0.47317,                0.19025,                 4.7242,                 3.8311,                 2.7056,               0.018688,               0.018688,               0.018688
                     35,                 4.7828,                 4.2911,                 2.6546,                0.50417,                0.45072,                0.47083,                0.18442,                 4.7896,                  3.819,                 2.7355,               0.018609,               0.018609,               0.018609
                     36,                 4.7033,                 4.2785,                 2.6501,                0.51448,                0.42082,                0.47526,                0.18922,                 4.7663,                  3.806,                  2.719,               0.018528,               0.018528,               0.018528
                     37,                 4.6617,                 4.2388,                 2.6403,                0.52045,                0.44435,                0.48253,                0.19095,                 4.7813,                 3.7795,                 2.7403,               0.018445,               0.018445,               0.018445
                     38,                 4.6815,                 4.2339,                 2.6371,                0.51318,                0.46926,                 0.4929,                0.20074,                 4.6591,                 3.7519,                 2.7115,                0.01836,                0.01836,                0.01836
                     39,                 4.6502,                 4.2173,                 2.6271,                0.52059,                0.47777,                0.50485,                0.20672,                 4.6138,                 3.7519,                 2.6872,               0.018273,               0.018273,               0.018273
                     40,                 4.6288,                 4.1762,                  2.625,                0.53009,                0.45324,                0.51898,                0.20856,                 4.5939,                 3.7381,                  2.684,               0.018183,               0.018183,               0.018183
                     41,                 4.6401,                 4.1685,                 2.6233,                0.52238,                0.46159,                0.49748,                0.20247,                 4.6264,                 3.7209,                 2.6914,               0.018092,               0.018092,               0.018092
                     42,                 4.6775,                 4.1743,                 2.6245,                0.55571,                0.45718,                0.51306,                0.20547,                 4.6905,                 3.7389,                 2.6911,               0.017999,               0.017999,               0.017999
                     43,                 4.5976,                 4.1284,                 2.6077,                0.54545,                0.45656,                   0.51,                0.21041,                 4.6174,                 3.6951,                 2.6737,               0.017904,               0.017904,               0.017904
                     44,                  4.631,                 4.1459,                 2.6103,                 0.5414,                0.46117,                0.51389,                0.21237,                 4.5578,                 3.6743,                 2.6522,               0.017806,               0.017806,               0.017806
                     45,                 4.6045,                 4.1361,                 2.6083,                 0.5254,                0.49636,                0.51197,                0.21058,                 4.5425,                 3.6522,                 2.6428,               0.017707,               0.017707,               0.017707
                     46,                 4.6042,                 4.1109,                 2.6006,                 0.5104,                0.51947,                0.51786,                0.21402,                 4.5047,                 3.6385,                 2.6352,               0.017606,               0.017606,               0.017606
                     47,                  4.556,                 4.1029,                 2.5976,                0.52577,                0.51801,                0.52536,                0.21863,                  4.516,                 3.6304,                 2.6387,               0.017504,               0.017504,               0.017504
                     48,                 4.5355,                 4.0793,                 2.6005,                0.54122,                0.50565,                0.52983,                0.22306,                 4.5013,                 3.6012,                  2.642,               0.017399,               0.017399,               0.017399
                     49,                 4.5532,                 4.0528,                 2.5912,                0.56089,                0.51235,                0.54588,                0.22666,                 4.4854,                 3.5734,                 2.6426,               0.017292,               0.017292,               0.017292
                     50,                 4.5403,                 4.0588,                 2.5855,                0.55774,                0.50134,                0.53858,                0.22685,                 4.4779,                 3.5425,                 2.6402,               0.017184,               0.017184,               0.017184
                     51,                 4.5104,                 4.0375,                 2.5878,                0.57488,                0.51161,                0.54309,                0.22599,                 4.4595,                 3.5321,                 2.6404,               0.017074,               0.017074,               0.017074
                     52,                 4.5433,                 4.0304,                 2.5814,                0.57949,                0.49986,                0.54623,                0.23191,                 4.4295,                 3.4989,                 2.6335,               0.016962,               0.016962,               0.016962
                     53,                 4.4948,                 4.0263,                 2.5803,                0.57088,                0.51716,                0.55281,                0.23213,                  4.398,                 3.4853,                 2.6276,               0.016849,               0.016849,               0.016849
