                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  7.441,                 6.8517,                 3.5436,                0.47232,                0.07373,                 0.0329,                0.00948,                 8.1926,                  10.42,                 3.7208,               0.084017,              0.0039957,              0.0039957
                      1,                 6.1143,                 6.0801,                 3.1568,                0.52734,                0.12048,                0.04889,                 0.0153,                 7.7015,                 6.9393,                 3.4227,               0.068017,              0.0079952,              0.0079952
                      2,                 5.8415,                 5.8666,                 3.0756,                0.48842,                0.16542,                0.08605,                0.02541,                 6.9636,                 6.2828,                 3.3163,               0.052014,               0.011993,               0.011993
                      3,                 5.7478,                 5.6664,                 3.0077,                0.50726,                0.15356,                0.07988,                0.02569,                 7.0374,                  6.741,                 3.2591,               0.036008,               0.015987,               0.015987
                      4,                 5.5447,                  5.493,                 2.9509,                0.33838,                0.15964,                0.10299,                0.03397,                 6.2184,                 5.8716,                 3.2329,               0.019998,               0.019976,               0.019976
                      5,                 5.4744,                 5.3606,                 2.9242,                0.32845,                0.28052,                0.13455,                0.04438,                 6.0908,                 5.3226,                 3.1378,               0.019969,               0.019969,               0.019969
                      6,                 5.3513,                   5.25,                 2.8914,                0.24142,                0.21805,                0.14823,                0.04889,                 5.9715,                  5.028,                 3.0796,               0.019969,               0.019969,               0.019969
                      7,                  5.363,                 5.1404,                 2.8678,                0.23991,                0.24431,                0.17571,                0.05736,                 6.0925,                 4.9532,                 3.1564,               0.019956,               0.019956,               0.019956
                      8,                 5.3226,                  5.072,                 2.8502,                0.17889,                0.25018,                0.16867,                0.06045,                 5.8602,                 5.1853,                 3.0303,                0.01994,                0.01994,                0.01994
                      9,                  5.239,                 4.9907,                 2.8098,                0.26182,                0.26331,                0.22133,                0.07647,                 5.6118,                 4.6411,                 2.9842,               0.019921,               0.019921,               0.019921
                     10,                 5.2928,                 4.9522,                 2.8119,                0.29811,                 0.3254,                0.23606,                0.08421,                 5.5549,                 4.7985,                  2.977,                 0.0199,                 0.0199,                 0.0199
